Observation,StateDate,Meal
1,Alabama 13 January 2011,"Declined a final meal request, instead buying a cheeseburger from the vending machine plus a V8 juice, pork skins and a Yahoo drink."
2,Alabama 20 October 2011,"From food available in the prison cafeteria, chose a turkey bologna sandwich with tomatoes and cheese, french fries, and an orange drink. Later, from a vending machine, got a Reese<U+0092>s Cup, pretzels, and grape Sunkist drink."
3,Alabama 22 September 2011,"In the final hours before the execution, refused to eat breakfast and wasn't expected to eat dinner, either, prison officials said. Did not request a special last meal, saying he was fasting today."
4,Alabama 04 November 2010,"Did not request a final meal, but had cheese crackers, nacho cheese Bugles, a ham-and-cheese sandwich and a Dr. Pepper from vending machines."
5,Alabama 09 September 2010,None.
6,Alabama 12 August 2010,"Vending machine meal of meatball sub sandwich, a double pork chop sandwich and a Philly cheesesteak sandwich, with an orange soda and orange juice."
7,Alabama 10 June 2010,"Fried fish, french fries and iced tea."
8,Alabama 14 May 2009,No final meal request.
9,Alabama 08 October 2009,"Turkey sandwich with tomatoes and mayonnaise, potato salad and cake."
10,Alabama 11 June 2009,"Fried chicken, french fries, onion soup and a roll."
11,Alabama 16 April 2009,"Fried chicken, fried okra, a biscuit and a root beer."
12,Alabama 12 February 2009,No final meal request but had two fried egg sandwiches for breakfast.
13,Alabama 15 January 2009,Two corn dogs with ketchup and mustard and a Coke.
14,Alabama 23 August 2007,"Hot dogs, a garden salad with french dressing and orange juice."
15,Alabama 26 July 2007,Egg and cheese omelette and fresh sliced tomatoes.
16,Alabama 03 May 2007,"Black-eyed peas, pepper steak and an orange-flavored drink."
17,Alabama 25 October 2006,Request to eat from a vending machine with family members.
18,Alabama 22 September 2005,Ate very little in the days before the execution and did not make the traditional request for a last meal.
19,Alabama 30 September 2004,"Frankfurters, French fries, American cheese, custard and chocolate cake with chocolate frosting, but refused to eat when meal was presented."
20,Alabama 05 August 2004,"Two eggs over medium, four pieces of bacon, fried green tomatoes, sliced red tomatoes, four slices of pineapple with mayonnaise, white bread, a banana, and a medium-sized V-8."
21,Alabama 07 August 2003,"Requested shrimp, but it wasn<U+0092>t available in the prison kitchen. Ate vending machine snacks."
22,Alabama 13 March 2003,"Fried catfish, potato logs, cole slaw, hush puppies, salad and water."
23,Arkansas 07 May 2001,No meal at all.
24,Arkansas 02 May 2000,"Supreme pizza, garden salad with ranch dressing, pickled okra, strawberry shortcake, cherry limeade."
25,Arkansas 19 December 2000,"Jumbo fried shrimp, French fries, cole slaw, ketchup, lemonade, cheesecake."
26,Arkansas 08 September 1999,"Barbecue potato chips, beef jerky, green onion dip and garlic dip, buttered popcorn, Pepsi (one of two executions this day)."
